V1,V2,r
Ability_Comparison,Ability_Comparison,1
Passive,Ability_Comparison,0.39681456816968846
Emo_Invest,Ability_Comparison,0.2782759973338863
Rumination,Ability_Comparison,0.3823102844136009
Sleep_Condition,Ability_Comparison,-0.29371603186944367
Ability_Comparison,Passive,0.39681456816968846
Passive,Passive,1
Emo_Invest,Passive,0.1667114846012368
Rumination,Passive,0.15583948851533475
Sleep_Condition,Passive,-0.2414684246346082
Ability_Comparison,Emo_Invest,0.2782759973338863
Passive,Emo_Invest,0.1667114846012368
Emo_Invest,Emo_Invest,1
Rumination,Emo_Invest,0.2700973990718672
Sleep_Condition,Emo_Invest,-0.1752424884062501
Ability_Comparison,Rumination,0.3823102844136009
Passive,Rumination,0.15583948851533475
Emo_Invest,Rumination,0.2700973990718672
Rumination,Rumination,1
Sleep_Condition,Rumination,-0.5326288704210336
Ability_Comparison,Sleep_Condition,-0.29371603186944367
Passive,Sleep_Condition,-0.2414684246346082
Emo_Invest,Sleep_Condition,-0.1752424884062501
Rumination,Sleep_Condition,-0.5326288704210336
Sleep_Condition,Sleep_Condition,1
